Latitude,Longitude,Location
19.10766,72.83678,DR.COOPER HOSPITAL
19.10759,72.83692,DR.COOPER HOSPITAL
19.11359,72.83687,GAGANDEEP
19.10484,72.83957,GOLDEN TOBACCO (VILE PARLE-W)
19.1131,72.82624,HARE RAM HARE KRISHNA (ISKCON)
19.10926,72.84069,ERLA
19.11617,72.83186,J.V.P.D.BUS STATION
19.09574,72.82817,JUHU BEACH
19.11561,72.83485,JUHU SHOPPING CENTRE (JVPD)
19.12295,72.82472,VESAVA LINK ROAD
19.1164,72.82922,J.V.P.D.BUS STATION
19.10359,72.83191,SAHAKARI BHANDAR (JUHU)
18.96555,72.84496,NAWAB TANK MARG
18.96553,72.84504,NAWAB TANK MARG
18.96026,72.81722,DR.BHADKAMKAR ROAD
18.96272,72.8321,DR.M.IQBAL CHOWK (J J HOSPITAL)
18.96276,72.83191,DR.M.IQBAL CHOWK (J J HOSPITAL)
18.97912,72.82824,GARLIC COMPANY
18.95809,72.82883,GOL MANDIR (BHULESHWAR)
18.95805,72.82447,ALANKAR CINEMA
18.96193,72.8147,NANA CHOWK
18.9799,72.81285,VATSALABAI DESAI CHOWK (HAJI ALI)
18.97981,72.81279,VATSALABAI DESAI CHOWK (HAJI ALI)
18.9585,72.81974,PRARTHANA SAMAJ HARKISHANDAS HOSPITAL
18.95601,72.80085,HYDERABAD ESTATE
18.95109,72.79622,J.MEHTA MARG (NAPEAN SEA ROAD)
18.9581,72.83088,JOHAR CHOWK (BHENDI BAZAAR)
18.95445,72.82599,KASTURBA GANDHI CHOWK (C.P.TANK)
18.95805,72.82246,KHETWADI (GIRGAON)
18.9821,72.81467,LALA LAJPATRAI COLLAGE
18.98212,72.81433,LALA LAJPATRAI COLLEGE
18.96839,72.84053,MAHARANA PRATAP CHOWK (MAZGAON)
18.96988,72.82805,MADANPURA
18.97347,72.80576,MAFATLAL PARK
18.97468,72.80619,MAFATLAL PARK
18.96811,72.84011,MAHARANA PRATAP CHOWK (MAZGAON)
18.96872,72.83868,MAZGAON COURT
18.96883,72.83872,MAZGAON COURT
18.9682,72.82446,MUMBAI CENTRAL DEPOT
18.96871,72.82205,MUMBAI CENTRAL STATION
18.9688,72.82043,MUMBAI CENTRAL STATION
18.96805,72.82036,MUMBAI CENTRAL STATION
18.96767,72.82006,MUMBAI CENTRAL STATION
18.96665,72.82976,NAGPADA POLICE STATION
18.96711,72.80798,NALANDA (CUMBALLA HILL)
18.96361,72.81328,NANA CHOWK SHASTRI HALL
18.96444,72.81297,BHATIA HOSPITAL
18.96532,72.81951,NAVJEEVAN SOCIETY (TARDEO)
18.96658,72.83258,A.H.ANSARI CHOWK NEW NAGPADA
18.96185,72.81883,NOVELTY CINEMA DR.BHADKAMKAR ROAD
18.95713,72.79992,PRIYADARSHINI PARK (NAPEAN SEA ROAD)
19.08505,72.83803,SANTACRUZ STATION (W) ROAD KASHIBAI HOSPITAL
19.10798,72.82995,PARASMANI MADHUKUNJ SOCIETY
19.11616,72.84097,MANO-BINA APARTMENTS
19.11627,72.84082,MANO-BINA APARTMENTS
19.09505,72.83952,NANAVATI HOSPITAL
19.09976,72.82755,PARSI COLONY (JUHU)
19.10172,72.83885,VILE PARLE (W)
19.10164,72.83875,VILE PARLE (W)
19.09213,72.82818,ROYAL HOTEL(JUHU)
19.09185,72.83859,SANTACRUZ DEPOT
19.09196,72.83868,SANTACRUZ DEPOT
19.09211,72.83876,SANTACRUZ DEPOT
19.09125,72.83838,SANTACRUZ DEPOT
19.07518,72.8727,KAPADIA NAGAR
19.07725,72.86994,KUNCHI KURVE NAGAR
19.06722,72.879,KURLA STATION (W)
19.06729,72.87887,KURLA STATION (W)
19.07538,72.87882,KURLA DEPOT
19.0608,72.8727,RAJMATA AHILYABAI HOLKAR UDYAN KURLA LION S PARK
19.07037,72.87938,LAXMANRAO YADAV MARKET (KURLA MARKET)
19.06398,72.87409,SANT ROHIDAS SABHAGURHA KURLA POST OFFICE
19.0647,72.87445,SANT ROHIDAS SABHAGURHA KURLA POST OFFICE
19.06724,72.8792,KURLA STATION (W)
19.0692,72.85695,MAHATMA PHULE BHAVAN (VIDYA NAGARI)
19.06923,72.85683,MAHATMA PHULE BHAVAN (VIDYA NAGARI)
19.09055,72.84411,MILAN SUBWAY
19.08057,72.85906,MILITARY OUTPOST (KALINA)
19.08048,72.85908,MILITARY OUTPOST (KALINA)
19.07363,72.8712,MOHAMMAD ESTATE
19.08468,72.88995,MUKUND COMPANY P.W.D.OFFICE (KAMANI)
19.08239,72.88994,NAVAPADA (VIDYAVIHAR-W)
19.08737,72.844,NEW AGRIPADA (SANTACRUZ-E)
19.08073,72.87227,NEW AIR INDIA QUARTERS
19.08082,72.87242,NEW AIR INDIA QUARTERS
19.07903,72.87972,OLD AGRA ROAD (KURLA-W)
19.0809,72.85022,PHATAK TECHNICAL SCHOOL
19.0753,72.87965,RAHAT APARTMENT
19.08056,72.84603,VAKOLA POLICE STATION
19.08093,72.89081,VIDYA VIHAR S.T.WORKSHOP
19.09659,72.88362,SAFED POOL (SAKI NAKA)
19.08107,72.84245,SANTACRUZ STATION (E)
19.08245,72.88215,SHEETAL CINEMA (KURLA-W)
19.07827,72.86853,ST.MARY SCHOOL (KALINA)
19.08682,72.88725,SUNDAR BAUG (KAMANI)
19.08023,72.85098,VAKOLA POLICE STATION
19.08122,72.85395,VAKOLA PIPE LINE
19.08081,72.85316,VAKOLA PIPE LINE
19.08077,72.8521,VAKOLA PIPE LINE
19.08343,72.84676,VAKOLA POLICE STATION
19.07901,72.84723,VAKOLA POLICE STATION (HANUMAN MANDIR)
19.08213,72.84631,VAKOLA POLICE STATION
19.07336,72.86097,VIDYA NAGARI (KALINA)
19.07336,72.86081,VIDYA NAGARI (KALINA)
19.07111,72.85872,VIDYA NAGARI (KALINA) NEHRU LIBRARY
19.07113,72.85892,VIDYA NAGARI (KALINA) NEHRU LIBRARY
19.07996,72.89659,VIDYA VIHAR BUS STATION (W)
19.07372,72.88151,ACHARYA VINOBA BHAVE NAGAR (KURLA-W)
19.06834,72.88814,NEHRU NAGAR  (KURLA-E) TILAK NAGAR JUNCTION
19.07335,72.86092,VIDYA NAGARI (KALINA)
18.99691,72.81653,ACHARYA ATRE CHOWK (WORLI NAKA)
19.01643,72.822,ADARSH NAGAR (WORLI VILLAGE)
19.01593,72.82307,ADARSH NAGAR (WORLI VILLAGE)
19.01862,72.83394,AGAR BAZAR
19.08434,72.8355,SANTACRUZ POLICE STATION
19.08328,72.83459,SANTACRUZ POLICE STATION
19.08294,72.83447,SANTACRUZ POLICE STATION
19.08029,72.83783,SANTACRUZ STATION (W) ROAD
19.08724,72.83452,SHASTRI NAGAR (JUHU)
19.11538,72.84327,SHOPPERS STOP (ANDHERI-W)
19.11457,72.84252,SHOPPERS STOP (ANDHERI-W)
19.1106,72.82985,STATE BANK (VILE PARLE-W)
19.11323,72.82986,SUKHMANI SOCIETY
19.11537,72.82318,VAIKUNTH DHAM
19.11526,72.82323,VAIKUNTH DHAM
19.10222,72.83939,VILE PARLE (W)
19.08807,72.8329,YASHODHAM
19.1036,72.83694,MITHIBAI COLLEGE
19.10894,72.83709,DR.COOPER HOSPITAL
19.12541,72.82258,BHARAT NAGAR (VESAVE)
19.11606,72.83512,JUHU SHOPPING CENTRE (JVPD)
19.12393,72.8305,D.N.NAGAR BARFIWALA VIDYALAYA
19.12731,72.83105,INDIAN OIL NAGAR (ANDHERI-W)
19.12198,72.8299,ESIC NAGAR
19.07865,72.86669,AZAD NAGAR (KALINA)
19.07198,72.86563,AMAR BRASS & STEEL COMPANY
19.07147,72.8756,ANJANABAI MAGAR CHOWK SWATANTRA SAINIK SURVE CHOWK
19.07001,72.87537,ANJANABAI MAGAR CHOWK SWATANTRA SAINIK SURVE CHOWK
19.08644,72.88101,BAIL BAZAR
19.07346,72.88033,BUDDHA NAGAR (KURLA-W)
19.08658,72.89812,CHIRAG NAGAR
19.083,72.85323,DATTA MANDIR (VAKOLA)
19.07217,72.85465,DR.AMBEDKAR BHAVAN (VIDYA NAGARI)
19.0824,72.85357,GAONDEVI JUNCTION (VAKOLA)
19.06745,72.875,GOL BUILDING (KURLA-W)
19.08197,72.89437,INDIRA NAGAR (KAMANI) KHALAI VILLAGE
19.09469,72.88341,JARIMARI (SAKINAKA)
19.07777,72.8629,KALINA
19.07728,72.87853,KALPANA CINEMA
19.08467,72.88549,KAMANI
19.0851,72.88648,KAMANI
19.08508,72.88702,KAMANI
19.08507,72.88724,KAMANI
18.99511,72.82558,PHOENIX MILL
19.00271,72.81567,PODDAR HOSPITAL (WORLI) SIDDHARTH NAGAR
19.0013,72.81543,PODDAR HOSPITAL (WORLI) SIDDHARTH NAGAR
19.00805,72.81443,POLICE CAMP (WORLI)
19.01366,72.8294,PRABHADEVI
19.01328,72.82851,PRABHADEVI
19.01596,72.82834,PRABHADEVI
19.02005,72.83656,PRABODHANKAR THACKERAY CHOWK (DADAR-W)
19.0216,72.83756,RANADE ROAD (DADAR-W)
19.01013,72.82036,DR.RAVINDRA KULKARNI CHOWK SASMIRA (WORLI)
18.97971,72.8203,MAHALAXMI RACE COURSE ZENITH HOUSE
18.97992,72.82082,MAHALAXMI RACE COURSE ZENITH HOUSE
18.98801,72.82282,AMBIKA MILL BUS STATION H.U.RAKHANGI CHOWK
19.02609,72.84085,RAM GANESH GADKARI CHOWK (DADAR-W)
19.02663,72.84093,RAM GANESH GADKARI CHOWK (DADAR-W)
19.01156,72.83249,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
19.0116,72.8325,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
19.01053,72.83156,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
19.00927,72.83242,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
18.995,72.8157,JARIMARI MATA MANDIR S.T.OFFICE (WORLI)
19.00832,72.83273,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
19.00968,72.83365,PAREL S.T.DEPOT SANT ROHIDAS CHOWK
19.01061,72.83152,SAYANI MARG
19.02297,72.84239,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA)
19.02879,72.83761,MAHAPOUR NIWAS SHIVAJI PARK
19.02883,72.83767,MAHAPOUR NIWAS SHIVAJI PARK
19.02888,72.83757,MAHAPOUR NIWAS SHIVAJI PARK
18.97978,72.83124,SIMPLEX MILL
18.99736,72.82205,SHREE RAM MILL
19.01263,72.82665,STANDARD MILL
19.02107,72.84265,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA)
19.02111,72.84214,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA)
19.0209,72.84258,VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA)
